naam,jaar,land,beschrijving
Blancpain,1735,Zwitserland,"Blancpain is een Zwitsers horlogemerk dat bekend staat om zijn traditie van vakmanschap en innovatie. Het merk is een van de oudste horlogemakers ter wereld en produceert vandaag de dag een breed scala aan horloges, waaronder dress watches, duikhorloges en chronografen. Blancpain staat ook bekend om zijn toewijding aan het behoud van de marine-ecosystemen."
Breguet,1775,Zwitserland,"Breguet is een Zwitsers horlogemerk dat bekend staat om zijn innovatie en vakmanschap. Het merk is opgericht door Abraham-Louis Breguet, een van de grootste horlogemakers in de geschiedenis. Breguet produceert vandaag de dag een breed scala aan horloges, waaronder dress watches, sportieve horloges en horloges met complicaties. Het merk staat bekend om zijn kenmerkende esthetiek, waaronder pomme-stijl wijzers en de iconische Breguet-kroon."
Chopard,1860,Zwitserland,"Chopard is een Zwitsers horlogemerk dat bekend staat om zijn creatieve en innovatieve ontwerpen. Het merk produceert vandaag de dag een breed scala aan horloges, waaronder dress watches, sportieve horloges en horloges met complicaties. Chopard is ook bekend om zijn toewijding aan duurzaamheid en ethisch verantwoorde productieprocessen."
Tissot,1853,Zwitserland,"Tissot is een Zwitsers horlogemerk dat bekend staat om zijn betaalbare prijzen en hoge kwaliteit. Het merk heeft een breed scala aan horloges voor zowel mannen als vrouwen, van sportieve tot klassieke modellen."
Seiko,1881,Japan,"Seiko is een Japans horlogemerk dat bekend staat om zijn innovatieve technologieën en hoogwaardige uurwerken. Het merk produceert zowel quartz- als mechanische horloges en heeft een breed scala aan modellen voor zowel mannen als vrouwen."
Longines,1832,Zwitserland,"Longines is een Zwitsers horlogemerk dat bekend staat om zijn klassieke en elegante ontwerpen. Het merk produceert zowel quartz- als mechanische horloges en heeft een breed scala aan modellen, van sportief tot klassiek."
Hamilton,1892,Zwitserland,"Hamilton is een Zwitsers horlogemerk dat bekend staat om zijn innovatieve ontwerpen en hoge kwaliteit. Het merk heeft een breed scala aan horloges voor zowel mannen als vrouwen, van sportief tot klassiek."
Bell & Ross,1992,Frankrijk,"Bell & Ross is een Frans horlogemerk dat bekend staat om zijn militaire stijl en hoge kwaliteit. Het merk produceert voornamelijk pilotenhorloges en duikhorloges, met een robuuste en functionele uitstraling."
Ulysse Nardin,1846,Zwitserland,"Ulysse Nardin is een Zwitsers horlogemerk dat bekend staat om zijn innovatieve technologieën en marine-geïnspireerde ontwerpen. Het merk produceert zowel quartz- als mechanische horloges en heeft een breed scala aan modellen."
Maurice Lacroix,1975,Zwitserland,"Maurice Lacroix is een Zwitsers horlogemerk dat bekend staat om zijn innovatieve ontwerpen en hoge kwaliteit. Het merk heeft een breed scala aan horloges voor zowel mannen als vrouwen, van sportief tot klassiek."
Oris,1904,Zwitserland,"Oris is een Zwitsers horlogemerk dat bekend staat om zijn duurzame en functionele horloges. Het merk produceert zowel quartz- als mechanische horloges en heeft een breed scala aan modellen voor zowel mannen als vrouwen."
Glashütte Original,1994,Duitsland,"Glashütte Original is een Duits horlogemerk dat bekend staat om zijn traditionele vakmanschap en hoogwaardige uurwerken. Het merk produceert zowel quartz- als mechanische horloges en heeft een breed scala aan modellen, van klassiek tot modern."
